delivery_interval_position,local_delivery_date,timestamp_utc,local_time_with_offset,price_seq1,price_seq2,abs_diff
1,2025-10-01,2025-09-30 22:00:00+00:00,00:00 +0200,102.6,112.1,9.5
2,2025-10-01,2025-09-30 22:15:00+00:00,00:15 +0200,92.24,108.1,15.86
3,2025-10-01,2025-09-30 22:30:00+00:00,00:30 +0200,86.03,99.6,13.569999999999993
4,2025-10-01,2025-09-30 22:45:00+00:00,00:45 +0200,85.39,92.0,6.609999999999999
5,2025-10-01,2025-09-30 23:00:00+00:00,01:00 +0200,89.99,108.1,18.11
6,2025-10-01,2025-09-30 23:15:00+00:00,01:15 +0200,86.03,102.7,16.67
7,2025-10-01,2025-09-30 23:30:00+00:00,01:30 +0200,85.03,97.0,11.969999999999999
8,2025-10-01,2025-09-30 23:45:00+00:00,01:45 +0200,84.09,92.0,7.909999999999997
9,2025-10-01,2025-10-01 00:00:00+00:00,02:00 +0200,85.41,103.0,17.590000000000003
10,2025-10-01,2025-10-01 00:15:00+00:00,02:15 +0200,85.0,98.1,13.099999999999994
11,2025-10-01,2025-10-01 00:30:00+00:00,02:30 +0200,84.54,97.4,12.86
13,2025-10-01,2025-10-01 01:00:00+00:00,03:00 +0200,87.39,98.1,10.709999999999994
14,2025-10-01,2025-10-01 01:15:00+00:00,03:15 +0200,87.36,98.0,10.64
15,2025-10-01,2025-10-01 01:30:00+00:00,03:30 +0200,88.56,99.4,10.840000000000003
16,2025-10-01,2025-10-01 01:45:00+00:00,03:45 +0200,89.99,100.6,10.61
17,2025-10-01,2025-10-01 02:00:00+00:00,04:00 +0200,86.31,93.6,7.289999999999992
18,2025-10-01,2025-10-01 02:15:00+00:00,04:15 +0200,89.06,96.2,7.140000000000001
19,2025-10-01,2025-10-01 02:30:00+00:00,04:30 +0200,86.42,102.2,15.780000000000001
20,2025-10-01,2025-10-01 02:45:00+00:00,04:45 +0200,88.83,106.4,17.570000000000007
21,2025-10-01,2025-10-01 03:00:00+00:00,05:00 +0200,84.26,97.4,13.14
22,2025-10-01,2025-10-01 03:15:00+00:00,05:15 +0200,90.76,102.0,11.239999999999995
23,2025-10-01,2025-10-01 03:30:00+00:00,05:30 +0200,97.55,113.8,16.25
24,2025-10-01,2025-10-01 03:45:00+00:00,05:45 +0200,108.74,125.2,16.460000000000008
25,2025-10-01,2025-10-01 04:00:00+00:00,06:00 +0200,97.03,112.4,15.370000000000005
26,2025-10-01,2025-10-01 04:15:00+00:00,06:15 +0200,117.49,136.3,18.810000000000016
27,2025-10-01,2025-10-01 04:30:00+00:00,06:30 +0200,133.23,159.9,26.670000000000016
28,2025-10-01,2025-10-01 04:45:00+00:00,06:45 +0200,152.09,184.68,32.59
29,2025-10-01,2025-10-01 05:00:00+00:00,07:00 +0200,160.95,194.96,34.01000000000002
30,2025-10-01,2025-10-01 05:15:00+00:00,07:15 +0200,181.48,214.96,33.48000000000002
31,2025-10-01,2025-10-01 05:30:00+00:00,07:30 +0200,180.23,326.64,146.41
32,2025-10-01,2025-10-01 05:45:00+00:00,07:45 +0200,170.54,234.7,64.16
33,2025-10-01,2025-10-01 06:00:00+00:00,08:00 +0200,200.25,214.1,13.849999999999994
34,2025-10-01,2025-10-01 06:15:00+00:00,08:15 +0200,143.35,182.0,38.650000000000006
35,2025-10-01,2025-10-01 06:30:00+00:00,08:30 +0200,117.5,157.01,39.50999999999999
36,2025-10-01,2025-10-01 06:45:00+00:00,08:45 +0200,95.25,129.93,34.68000000000001
37,2025-10-01,2025-10-01 07:00:00+00:00,09:00 +0200,139.48,180.0,40.52000000000001
38,2025-10-01,2025-10-01 07:15:00+00:00,09:15 +0200,105.01,149.91,44.89999999999999
39,2025-10-01,2025-10-01 07:30:00+00:00,09:30 +0200,93.66,119.95,26.290000000000006
40,2025-10-01,2025-10-01 07:45:00+00:00,09:45 +0200,82.85,92.0,9.150000000000006
41,2025-10-01,2025-10-01 08:00:00+00:00,10:00 +0200,103.22,154.98,51.75999999999999
42,2025-10-01,2025-10-01 08:15:00+00:00,10:15 +0200,93.06,124.91,31.849999999999994
43,2025-10-01,2025-10-01 08:30:00+00:00,10:30 +0200,81.21,95.6,14.39
44,2025-10-01,2025-10-01 08:45:00+00:00,10:45 +0200,66.65,64.93,1.7199999999999989
45,2025-10-01,2025-10-01 09:00:00+00:00,11:00 +0200,83.5,149.92,66.41999999999999
46,2025-10-01,2025-10-01 09:15:00+00:00,11:15 +0200,72.08,123.16,51.08
47,2025-10-01,2025-10-01 09:30:00+00:00,11:30 +0200,65.32,94.98,29.66000000000001
48,2025-10-01,2025-10-01 09:45:00+00:00,11:45 +0200,61.37,79.95,18.580000000000005
49,2025-10-01,2025-10-01 10:00:00+00:00,12:00 +0200,68.21,75.1,6.890000000000001
50,2025-10-01,2025-10-01 10:15:00+00:00,12:15 +0200,65.22,76.8,11.579999999999998
51,2025-10-01,2025-10-01 10:30:00+00:00,12:30 +0200,65.45,64.75,0.7000000000000028
52,2025-10-01,2025-10-01 10:45:00+00:00,12:45 +0200,65.22,61.5,3.719999999999999
53,2025-10-01,2025-10-01 11:00:00+00:00,13:00 +0200,65.6,60.08,5.519999999999996
54,2025-10-01,2025-10-01 11:15:00+00:00,13:15 +0200,67.72,65.09,2.6299999999999955
55,2025-10-01,2025-10-01 11:30:00+00:00,13:30 +0200,69.44,73.34,3.9000000000000057
56,2025-10-01,2025-10-01 11:45:00+00:00,13:45 +0200,70.84,70.09,0.75
57,2025-10-01,2025-10-01 12:00:00+00:00,14:00 +0200,64.49,79.8,15.310000000000002
58,2025-10-01,2025-10-01 12:15:00+00:00,14:15 +0200,70.25,89.93,19.680000000000007
59,2025-10-01,2025-10-01 12:30:00+00:00,14:30 +0200,74.63,99.96,25.33
60,2025-10-01,2025-10-01 12:45:00+00:00,14:45 +0200,81.14,113.3,32.16
61,2025-10-01,2025-10-01 13:00:00+00:00,15:00 +0200,65.3,74.9,9.600000000000009
62,2025-10-01,2025-10-01 13:15:00+00:00,15:15 +0200,74.63,89.7,15.070000000000007
63,2025-10-01,2025-10-01 13:30:00+00:00,15:30 +0200,88.02,114.95,26.930000000000007
64,2025-10-01,2025-10-01 13:45:00+00:00,15:45 +0200,98.94,134.97,36.03
