year,resolution_min,curve_type,timeseries_count,period_count,explicit_points_xml,disjoint_gap_count,overlapping_period_count,effective_intervals,explicit_intervals,synthesized_intervals,pct_synthesized
2019,15,A03,365,365,34926,0,0,35040,34926,114,0.33
2019,60,A03,365,365,8724,0,0,8760,8724,36,0.41
2020,15,A03,366,366,35100,0,0,35136,35100,36,0.1
2020,60,A03,366,366,8739,0,0,8784,8739,45,0.51
2021,15,A03,365,365,35019,0,0,35040,35019,21,0.06
2021,60,A03,365,365,8728,0,0,8760,8728,32,0.37
2022,15,A03,365,365,34959,0,0,35040,34959,81,0.23
2022,60,A03,365,365,8728,0,0,8760,8728,32,0.37
2023,15,A03,365,365,34585,0,0,35040,34585,455,1.3
2023,60,A03,365,365,8727,0,0,8760,8727,33,0.38
2024,15,A03,366,366,34957,0,0,35136,34957,179,0.51
2024,60,A03,366,366,8733,0,0,8784,8733,51,0.58
2025,15,A03,457,457,43390,0,0,43876,43390,486,1.11
2025,60,A03,273,273,6514,0,0,6551,6514,37,0.56
2026,15,A03,424,424,40032,0,0,40696,40032,664,1.63
