residual_load_bin,residual_load_median,price_median,price_mean,n
"(-13601.896, 10049.244]",5543.040000000001,-0.03,-1.9247765818656228,3066
"(10049.244, 15478.049]",13051.346250000002,18.11,26.939278375733856,3066
"(15478.049, 19452.038]",17583.9625,44.92,46.01369455316373,3066
"(19452.038, 22518.486]",21062.725000000002,58.56,58.969783920417484,3066
"(22518.486, 25088.328]",23864.71875,67.995,68.73219504240052,3066
"(25088.328, 27251.392]",26201.177499999998,75.80250000000001,76.40900978792821,3065
"(27251.392, 29245.057]",28249.9625,78.595,79.90679305283757,3066
"(29245.057, 31135.351]",30240.56375,81.075,86.10772586431833,3066
"(31135.351, 32931.118]",31986.357500000006,84.865,92.19788649706457,3066
"(32931.118, 34628.815]",33784.575,86.83,96.5222969667319,3066
"(34628.815, 36215.993]",35447.247500000005,88.12,101.04511256117456,3065
"(36215.993, 37790.851]",37013.48375,89.46875,103.8720637638617,3066
"(37790.851, 39420.1]",38599.8,93.21125,108.37284654272669,3066
"(39420.1, 41191.198]",40273.78125,95.34,112.24006930854533,3066
"(41191.198, 43029.485]",42100.7975,101.745,119.64060176125246,3066
"(43029.485, 45062.633]",44011.5025,101.54,121.53680505709625,3065
"(45062.633, 47369.794]",46204.67777025,107.275,128.85525358773648,3066
"(47369.794, 50228.712]",48706.39,108.005,134.486579419439,3066
"(50228.712, 54537.744]",52084.55875,118.97999999999999,143.90432240704502,3066
"(54537.744, 70888.26]",58407.906636249994,163.07,189.80911121983038,3066
