feature,standardized_coefficient,abs_coefficient
price_lag_24h,78.03225852218755,78.03225852218755
price_lag_168h,14.199383451683826,14.199383451683826
price_rolling_mean_168h,11.27242182991126,11.27242182991126
load_forecast_mw,11.093544214389867,11.093544214389867
price_rolling_mean_24h,-11.080488081800322,11.080488081800322
weekend,-8.821984935222195,8.821984935222195
price_lag_48h,8.352986753150528,8.352986753150528
dow_cos,7.651697940521766,7.651697940521766
price_rolling_vol_24h,6.2878334556487925,6.2878334556487925
hour_cos,4.777502508450451,4.777502508450451
month_cos,-4.662141526091229,4.662141526091229
price_rolling_vol_168h,4.224468236620983,4.224468236620983
dow_sin,-3.9412406375568323,3.9412406375568323
weekend_hour_cos,3.4276755286684275,3.4276755286684275
hour_sin,3.3949248460006642,3.3949248460006642
month_sin,-2.1866308633739955,2.1866308633739955
weekend_hour_sin,-1.715088067713608,1.715088067713608
post_15min_mtu,0.0,0.0
