hour_local,mae,rmse,median_ae,n
0,21.196137956804485,28.234421012092675,15.720799079644294,365
1,20.66391125354287,27.250641907474048,15.704290372843495,366
2,20.890964733440203,27.22083711127376,15.816988465965107,366
3,21.288992700879607,27.59374040910452,17.26856190194014,366
4,21.18292243121613,27.312395817366312,17.339835615774618,366
5,20.868530600594237,27.48594546126587,15.922773613689195,366
6,21.21040027251659,28.38992222614184,15.792339837890328,366
7,27.58752712069947,43.31946228166925,18.24242744871107,366
8,26.907986666029554,42.462264450210874,17.94838495932698,366
9,24.236955131684866,39.059266383069826,16.714039290547746,366
10,23.776871826189726,35.533265078778136,18.044879726685892,366
11,24.512951677584255,35.456341162828025,18.17672930392069,366
12,24.975246846257143,35.31068116097727,18.603864162684737,366
13,25.564399439074766,36.39960483812353,19.139013270410224,366
14,25.984508607405047,37.51747832873362,19.361804100410644,366
15,27.155479567250254,43.134267657324116,19.38626257059168,366
16,29.56134582745815,52.135537337365804,19.37973660806214,366
17,31.22725744881066,62.641924779875346,19.05847094370823,366
18,31.3893656141381,56.227599441774125,19.00704707083016,366
19,33.66213955484017,54.99031822153481,21.20558930758471,366
20,29.572316678416005,43.3628769830094,21.038773126749653,366
21,20.857242751268245,27.668307536208253,15.674987040904433,366
22,17.817243883124945,23.843200741663868,13.273601894732074,366
23,18.17873138246964,24.423591654188986,13.675797857055485,365
