hour_local,mae,rmse,median_ae,n
0,20.789095890410955,29.75415581886252,13.270000000000003,365
1,19.82379781420765,28.624554321583584,12.085,366
2,19.79945355191257,28.821817422966955,11.579999999999998,366
3,20.04789617486339,29.327614213646513,11.589999999999996,366
4,19.642459016393442,28.729914504427157,11.129999999999999,366
5,20.32882513661202,29.643061541294678,12.759999999999991,366
6,25.21021857923497,35.077500331525854,17.125,366
7,35.335218579234976,54.192078809893474,23.135,366
8,35.606502732240436,53.41588892471496,24.5,366
9,30.963415300546444,47.58386040782605,21.18,366
10,29.257021857923498,43.10252885522898,19.86500000000001,366
11,29.314398907103826,42.116702347960086,19.714999999999996,366
12,29.466448087431694,41.71647258217614,21.630000000000003,366
13,30.91748633879781,43.846433991494585,23.325000000000003,366
14,31.721393442622947,45.15187196344442,23.264999999999997,366
15,32.61461748633881,50.09881413089939,22.105,366
16,33.590382513661204,58.48962970060301,18.445,366
17,35.47161202185792,69.05169161992899,20.020000000000003,366
18,36.1946174863388,62.93988552492537,21.885000000000005,366
19,38.91773224043716,62.62231172638298,24.285000000000004,366
20,34.66516393442623,51.09876647479762,23.699999999999996,366
21,22.585464480874318,30.8329577498909,17.050000000000004,366
22,17.524071038251368,24.77806450474074,11.144999999999996,366
23,17.84786301369863,25.210833184625486,11.769999999999996,365
