hour_local,mae,rmse,median_ae,n
0,14.657722292263358,20.306085475487624,10.886294620146103,273
1,14.357250018971941,20.00751089292006,10.42976902718118,273
2,14.592889356268515,19.848397425277927,10.951077630760842,272
3,15.178707268950077,20.342240487963203,12.034779462502314,273
4,15.126004734565008,20.032111842843957,11.780903146821615,273
5,14.911835381771045,19.851579991228835,11.610504477036386,273
6,15.762238246387767,20.872973672559848,12.17417991543897,273
7,19.34702717880074,25.96355447661968,15.011842288846047,273
8,21.43956383946503,30.6205626702961,15.452956136585698,273
9,19.455998068287368,26.536944945483455,14.851066490011746,273
10,19.5243960346786,25.933659578121034,15.483473823626955,273
11,20.11419270972104,26.080342440745614,17.10192962721107,273
12,21.24335930867654,28.604114875453444,17.615292274006112,273
13,21.972619440586243,30.763395549517398,17.249648394444932,273
14,21.67775080776388,29.661697922320958,16.230338870067293,273
15,20.900844584495026,27.30763688711203,17.035203603101166,273
16,21.074671510720663,30.070970127116123,17.235094150630346,273
17,24.048075315770053,38.77381595765155,18.002775145002136,273
18,22.078069481734115,34.5300441707114,15.885021304688252,273
19,24.15455446414708,41.92083798618485,13.983270486304491,273
20,24.15471935106363,35.70764363163829,16.649809268530333,273
21,19.12168067917291,28.554256259503315,13.327421651272871,273
22,14.862713426147941,20.521940716218776,11.496086110424102,273
23,13.864884786912015,18.535116792011667,10.410636792013122,273
