model,mae,rmse,median_ae,n,fold
lag_24,27.150701286658165,39.945454129623876,16.739999999999995,8627,fold_1
lag_168,33.452121247247014,47.779884886146334,21.810000000000002,8627,fold_1
elasticnet_full,19.51102475849776,27.018922639008913,14.637333021346876,8627,fold_1
elasticnet_tier1,22.937438701140234,32.13284220402594,16.61299285090773,8627,fold_1
lag_24,27.661256581256584,44.265464824797405,17.159999999999997,8547,fold_2
lag_168,32.535260325260325,54.776223560875096,21.17,8547,fold_2
elasticnet_full,20.907741354552293,33.61048744736115,15.997608958645529,8547,fold_2
elasticnet_tier1,24.547228178626522,38.59650588388051,17.29869775084402,8547,fold_2
lag_24,25.97659073178343,40.32604608292469,14.949999999999989,6409,fold_3
lag_168,32.12624590419722,48.42209850672174,19.480000000000004,6409,fold_3
elasticnet_full,18.814724795224876,27.248533559559256,14.059631358423244,6409,fold_3
elasticnet_tier1,23.101872816089895,33.77978355017858,15.819062132750133,6409,fold_3
lag_24,25.764017142425615,40.26041827340598,14.797500000000007,2207,regime_stress_test
lag_168,34.71825101948346,51.47811391876565,20.9675,2207,regime_stress_test
elasticnet_full,20.010341333094836,28.629119068399962,15.087559274766917,2207,regime_stress_test
elasticnet_tier1,24.44721754090367,34.34013955266128,18.705389592360447,2207,regime_stress_test
