hour_local,mae,rmse,median_ae,n
0,21.092514820642382,29.119801680842187,15.972287653218785,364
1,21.429450316640384,29.704361337190207,15.121197888416447,361
2,21.477522032155846,29.311135986542773,15.804601529089581,341
3,22.129985111178648,29.927661036512877,16.12567620275287,361
4,22.048619833138744,29.851373587744703,15.865529816250039,357
5,20.99125222215158,28.488687204123625,15.87010951420713,357
6,20.765708356371388,28.25031284965481,14.680565259464586,357
7,23.66586619412304,32.86921841831537,16.82828468861817,353
8,23.483516540048356,32.24718163157907,17.250718372411498,355
9,22.43552390833051,30.697685131597716,17.508520218557024,363
10,22.92928163807542,30.87204168056002,18.029903842401467,362
11,23.32231483978187,31.592404120269624,19.04946132508553,361
12,25.02455520200833,33.8628669598642,18.421375181703297,365
13,26.52855346506576,37.230779672230355,19.05365497904907,365
14,26.906104546050354,37.623822046939495,17.755434737733992,349
15,26.996814484517664,41.092149194099775,18.916961343148785,361
16,24.20202499269418,32.674281922764386,18.08522262105845,365
17,22.861684770792614,30.61879942480574,17.019423017940085,361
18,22.963528198726692,31.70970427199794,16.602002037532543,357
19,27.29422841509221,41.65856648446762,19.29807109531049,365
20,24.156003292588295,35.356023653348174,18.07115876373838,361
21,20.22926375656292,27.798922564760048,15.051422523210533,361
22,18.299477142993492,25.270447924392183,13.404446148722045,361
23,19.209716615847494,26.929557398268457,13.5356508172267,364
