hour_local,mae,rmse,median_ae,n
0,20.86074585635359,29.854423360683004,13.279999999999998,362
1,19.52313725490196,28.048941021667375,12.120000000000005,357
2,19.62449720670391,28.460560906190377,11.579999999999998,358
3,19.907894736842106,29.165496021356216,11.539999999999992,361
4,19.69368115942029,28.831382117106504,11.149999999999999,345
5,20.2200283286119,29.457168565337124,12.699999999999989,353
6,24.978243626062323,34.529708217346275,17.189999999999998,353
7,34.78501416430595,53.67132393325019,22.940000000000005,353
8,34.890869565217386,53.08807337606639,23.930000000000007,345
9,30.275446927374304,46.9593414205102,20.53,358
10,29.223333333333336,43.073377850412946,19.86500000000001,360
11,29.09201133144476,41.95726809039246,19.689999999999998,353
12,29.416600566572235,41.78260561539134,21.310000000000002,353
13,30.615294117647057,43.6382536872633,22.990000000000002,357
14,31.867485029940113,45.58804999553293,22.320000000000004,334
15,32.20531428571429,50.098943119733434,21.615000000000002,350
16,33.430277777777775,58.59562671868572,18.169999999999998,360
17,35.33527472527473,69.09436571151748,19.930000000000007,364
18,36.41419444444445,63.23595689733984,21.999999999999993,360
19,39.01997222222223,62.93634616949627,24.265,360
20,34.706648351648354,51.19544460010283,23.699999999999996,364
21,22.647142857142857,30.902594906868615,17.050000000000004,364
22,17.590722222222222,24.902060691169048,11.11,360
23,17.90862258953168,25.272449328098816,11.810000000000002,363
