hour_local,mae,rmse,median_ae,n
0,14.632872879448698,20.26485367013422,10.874123162846445,273
1,14.560577828262819,20.21884658386734,10.799820654713827,265
2,14.743142707698325,19.961089341203646,11.2144712639207,266
3,14.826058943162597,19.88178561019417,11.873295267288995,261
4,14.583014022251325,19.087602310250475,11.596259678819422,265
5,14.88913809615791,19.8148298269095,11.602663788198207,273
6,15.805453894815265,20.939107877178312,12.171829082864747,269
7,19.33842213152009,25.949348354317483,14.949016817351833,273
8,20.93992164686426,30.06751761314093,15.37308268043273,265
9,19.441532701566317,26.51657483099904,14.75678094809141,273
10,19.505629631286045,25.923888053607016,15.499323860834142,273
11,20.085933009747002,26.131783642718617,17.081622598790496,269
12,21.262300276046734,28.61062331486095,17.503058626117568,273
13,22.159689301103903,31.089976758579546,17.168757402186106,261
14,22.03924477277803,30.38841008421464,16.557303700621617,241
15,21.55532771372578,28.247980437018988,17.429650449566445,241
16,20.79774934510971,29.69119990407724,16.889566918358973,269
17,24.06885673086742,38.779604883507155,18.005499410567356,273
18,20.850779917992817,29.71578144833797,15.84820890312362,269
19,24.15836530565405,41.907815112521305,13.999544692974581,273
20,24.134143345266487,35.69678142801342,16.647530098164538,273
21,19.228632147791785,28.723472917769655,13.343425259659412,269
22,14.46352940712769,19.87742382041108,11.39305665732985,269
23,13.838933067633304,18.494982681377113,10.34028265694839,273
