feature,standardized_coefficient,abs_coefficient
price_lag_24h,48.28117448211968,48.28117448211968
renewables_forecast_mw,-19.734194462294894,19.734194462294894
price_rolling_mean_168h,19.369956472274218,19.369956472274218
price_lag_168h,12.17138717175638,12.17138717175638
load_forecast_mw,10.328503761216192,10.328503761216192
weekend,-6.826996161586821,6.826996161586821
dow_cos,5.908538786011096,5.908538786011096
price_rolling_vol_168h,5.817828055433155,5.817828055433155
price_rolling_vol_24h,5.608493871824275,5.608493871824275
residual_load_forecast_mw,4.4353026311276835,4.4353026311276835
hour_cos,-4.343066376378443,4.343066376378443
price_lag_48h,3.674666527356538,3.674666527356538
weekend_hour_cos,3.3060454088571682,3.3060454088571682
dow_sin,-3.052995779389693,3.052995779389693
month_cos,-2.896818703516934,2.896818703516934
price_rolling_mean_24h,-2.7154382240154304,2.7154382240154304
weekend_hour_sin,-1.3315939884228034,1.3315939884228034
month_sin,1.045490714191449,1.045490714191449
hour_sin,0.4840819341030117,0.4840819341030117
renewable_share_forecast,0.4828396366979442,0.4828396366979442
post_15min_mtu,0.0,0.0
