feature,standardized_coefficient,abs_coefficient
price_lag_24h,63.59698249764987,63.59698249764987
price_lag_168h,13.251004105655822,13.251004105655822
price_rolling_mean_168h,12.777533705059227,12.777533705059227
load_forecast_mw,11.016891816906936,11.016891816906936
price_rolling_mean_24h,-8.625322351370928,8.625322351370928
weekend,-8.121496267577653,8.121496267577653
price_lag_48h,7.494740810584356,7.494740810584356
dow_cos,7.122702720855251,7.122702720855251
hour_cos,4.853547467537335,4.853547467537335
weekend_hour_cos,3.572635709196523,3.572635709196523
month_cos,-3.5100701574664908,3.5100701574664908
dow_sin,-3.2752080141454543,3.2752080141454543
price_rolling_vol_168h,3.1390867463134633,3.1390867463134633
hour_sin,2.994360711053476,2.994360711053476
price_rolling_vol_24h,2.6744936472939767,2.6744936472939767
month_sin,-1.9587900189495053,1.9587900189495053
weekend_hour_sin,-1.306520837478482,1.306520837478482
post_15min_mtu,0.0,0.0
