model,mae,rmse,median_ae,n,fold
lag_24,27.150701286658165,39.945454129623876,16.739999999999995,8627,fold_1
lag_168,33.452121247247014,47.779884886146334,21.810000000000002,8627,fold_1
elasticnet_full,19.510690119670503,27.018785257993116,14.63892211455098,8627,fold_1
elasticnet_tier1,22.93655676262666,32.13259761231077,16.61116156421106,8627,fold_1
xgboost_full,17.06163051069847,23.372359545331143,13.447441101074219,8627,fold_1
xgboost_tier1,23.575396885304237,33.852456372108655,16.298614501953125,8627,fold_1
lag_24,27.661256581256584,44.265464824797405,17.159999999999997,8547,fold_2
lag_168,32.535260325260325,54.776223560875096,21.17,8547,fold_2
elasticnet_full,20.89539930937342,33.609438812358384,15.97554355722994,8547,fold_2
elasticnet_tier1,24.546256138745306,38.59563589673266,17.305206600166407,8547,fold_2
xgboost_full,16.585216533764175,27.620129897947702,11.59756774902344,8547,fold_2
xgboost_tier1,22.839761146240043,36.19456340150979,15.325213623046878,8547,fold_2
lag_24,25.97659073178343,40.32604608292469,14.949999999999989,6409,fold_3
lag_168,32.12624590419722,48.42209850672174,19.480000000000004,6409,fold_3
elasticnet_full,18.813945892870148,27.24803231981043,14.043138089638987,6409,fold_3
elasticnet_tier1,23.101682587415063,33.78009113334851,15.821657604194868,6409,fold_3
xgboost_full,16.8808185586131,25.754502759091878,11.728836822509766,6409,fold_3
xgboost_tier1,22.202310102706853,33.795700182976034,14.226809692382815,6409,fold_3
lag_24,25.764017142425615,40.26041827340598,14.797500000000007,2207,regime_stress_test
lag_168,34.71825101948346,51.47811391876565,20.9675,2207,regime_stress_test
elasticnet_full,20.02823132453738,28.622586313184296,15.070160283728896,2207,regime_stress_test
elasticnet_tier1,24.443748855384364,34.336637318439486,18.718588998782124,2207,regime_stress_test
xgboost_full,15.72229916955725,23.686252198901773,10.7820280456543,2207,regime_stress_test
xgboost_tier1,23.172866737701046,34.291344435800376,15.472627563476564,2207,regime_stress_test
