hour_local,mae,rmse,median_ae,n
0,21.99491758241758,33.052852560144295,12.825000000000001,364
1,21.85229916897507,33.479557528425744,11.069999999999993,361
2,21.6899706744868,33.019222216417006,11.86,341
3,22.16036011080332,33.56841424056309,11.409999999999997,361
4,21.75067226890756,33.29306303448944,11.0,357
5,21.498431372549017,32.55353733032843,10.86,357
6,27.08014005602241,37.69265911262288,19.939999999999998,357
7,33.12005665722379,45.7092808993966,22.069999999999993,353
8,32.822338028169014,45.36113387869139,23.20999999999998,355
9,29.647906336088155,41.214600334302084,21.22999999999999,363
10,29.478121546961326,40.43082812636201,21.945,362
11,30.245872576177288,41.29740309623687,20.879999999999995,361
12,31.55619178082192,43.48582848043874,23.540000000000006,365
13,33.85775342465753,48.42796458064965,22.5,365
14,34.802177650429805,52.659999107645184,23.39,349
15,33.867008310249304,52.23928853080779,21.939999999999984,361
16,29.13761643835616,40.4590410743697,19.24000000000001,365
17,25.75797783933518,36.29270673358301,16.139999999999986,361
18,26.98238095238095,37.8529577122188,17.610000000000014,357
19,32.48841095890411,49.88904611152441,22.83,365
20,28.239445983379497,41.62812385023926,19.590000000000003,361
21,22.44573407202216,32.03138901564321,14.829999999999998,361
22,19.12551246537396,28.371973779099044,12.230000000000004,361
23,19.946923076923078,30.234049250239938,11.530000000000001,364
