feature,importance
price_lag_24h,0.60584515
price_rolling_mean_168h,0.08572596
residual_load_forecast_mw,0.07369767
price_lag_168h,0.07125756
renewable_share_forecast,0.06253829
price_rolling_vol_168h,0.018152356
month_cos,0.016385792
dow_sin,0.012402575
weekend_hour_cos,0.008795182
month_sin,0.008054635
renewables_forecast_mw,0.007775133
price_rolling_vol_24h,0.007281312
dow_cos,0.0065018972
load_forecast_mw,0.0038586394
hour_cos,0.0034769832
price_rolling_mean_24h,0.0031030332
price_lag_48h,0.0020782966
weekend_hour_sin,0.0019018813
hour_sin,0.0011676723
weekend,0.0
post_15min_mtu,0.0
