hour_local,mae,rmse,median_ae,n
0,21.309620711002776,28.34195833969295,15.970561055633702,362
1,20.53937480342962,26.97529216256321,15.747633333272518,357
2,20.806829233455737,27.06832232345462,15.829154985149344,358
3,21.301681147897362,27.605628612275723,17.2296683595915,361
4,21.00119659839935,27.184058279033998,17.177335468134366,345
5,20.89030794310884,27.500481110410153,15.909230387971505,353
6,21.235992428248824,28.455590453631007,15.845882483183814,353
7,27.302947019570343,43.35507160676783,17.52951484028388,353
8,26.738934834427205,42.68257413943821,17.66341807937114,345
9,24.03635113514632,39.101769844464755,16.331363768748673,358
10,23.792104105377742,35.685427205808054,17.945097511010374,360
11,24.41585015241872,35.401294614949485,18.21613258157656,353
12,24.99451689908646,35.50158195990127,18.339050552815706,353
13,25.570912408249455,36.54233977809013,19.04136693132355,357
14,25.71769376033863,37.38735226161898,19.114033907810448,334
15,26.940555449207157,43.226759874954126,18.214437995494997,350
16,29.413717909245815,52.3215669204393,19.253636228186206,360
17,31.246423213643084,62.795438599046705,18.906390217835625,364
18,31.64571115428754,56.5879033200499,19.321546324421433,360
19,33.440335232240024,54.979546782422304,21.08083293762943,360
20,29.696767965938562,43.46622687865316,21.054512031310608,364
21,20.90016902504208,27.721119140532426,15.720611790758163,364
22,17.89778894790124,23.952488889008915,13.241358968941604,360
23,18.233436346368183,24.480619025876063,13.635671535212396,363
