feature,standardized_coefficient,abs_coefficient
price_lag_24h,68.76830291489159,68.76830291489159
price_lag_168h,13.119090871305044,13.119090871305044
load_forecast_mw,11.427917788855098,11.427917788855098
price_rolling_mean_24h,-10.275336866976271,10.275336866976271
price_rolling_mean_168h,10.156646768490956,10.156646768490956
price_lag_48h,9.158360208492956,9.158360208492956
weekend,-8.396825300257511,8.396825300257511
dow_cos,7.322332602723493,7.322332602723493
price_rolling_vol_24h,5.314263225984602,5.314263225984602
price_rolling_vol_168h,5.268134258436949,5.268134258436949
hour_cos,4.943513629189734,4.943513629189734
month_cos,-4.365209266117598,4.365209266117598
dow_sin,-3.6927884934730026,3.6927884934730026
weekend_hour_cos,3.5867739949189317,3.5867739949189317
hour_sin,3.335905123186977,3.335905123186977
month_sin,-2.155958747236612,2.155958747236612
weekend_hour_sin,-1.6084109238852438,1.6084109238852438
post_15min_mtu,0.0,0.0
