hour_local,mae,rmse,median_ae,n
0,13.353581528815115,17.770838625896,10.771473999023435,362
1,13.242850649143135,17.764859286472,10.239794921875003,357
2,13.458248836298228,17.92236686277556,10.726725616455077,358
3,13.60372150859509,18.274349873819872,10.394697875976561,361
4,13.759348251328953,18.62245252985446,10.660027828216553,345
5,13.778808521307562,18.855031452416593,9.773474578857424,353
6,14.477994756235956,19.18072412663476,10.725612792968747,353
7,18.787495864528434,30.710364480563317,13.353166809082026,353
8,17.57326760854972,29.709687553300178,11.59756774902344,345
9,16.735879920331463,28.097896313866663,12.178021240234376,358
10,16.371788475174043,25.506250555025897,11.404379501342774,360
11,16.946266077693988,25.3143369670563,12.073587875366211,353
12,16.825273182366793,24.188362522517053,12.366763000488284,353
13,17.280663683050488,25.579201479298526,12.42928581237793,357
14,16.487016018554122,24.696103236761594,12.044723739624025,334
15,17.63964002645697,29.926024027971106,11.583591861724852,350
16,18.59663118822045,37.23524723411253,11.033164672851562,360
17,20.11828238130025,46.764081214050144,10.725016174316409,364
18,22.05416430928972,41.405394960899976,13.258780670166018,360
19,23.926955349683762,42.36171451371461,15.118712310791018,360
20,21.038825927907297,33.25240057194372,14.010880661010745,364
21,15.118313103049665,20.647467257678546,11.361861114501956,364
22,13.898783826483621,18.26972502369617,11.558560791015623,360
23,12.822541349492454,17.3099053982096,9.887995605468745,363
