hour_local,mae,rmse,median_ae,n
0,14.632490395570425,20.264378606588224,10.866425360572109,273
1,14.560505595994032,20.21829669797479,10.794620326631417,265
2,14.743158994468983,19.96064116800488,11.222151649338667,266
3,14.825955795634131,19.880595201654014,11.879115412894066,261
4,14.581627439397177,19.08498361073868,11.594326894547706,265
5,14.886893836984749,19.812267258971623,11.591283791530792,273
6,15.801720200204382,20.93574339789159,12.171406462746518,269
7,19.335613989251343,25.947196675884584,14.943156562938356,273
8,20.937514638061607,30.06657955235789,15.380413331079666,265
9,19.44063408826928,26.51624383068349,14.76190870135327,273
10,19.505943153899594,25.924861503694625,15.49542948959662,273
11,20.086217534927382,26.132297399301436,17.08040697152766,269
12,21.26201067253012,28.61088558939176,17.506085982039608,273
13,22.159234549132172,31.090223558709233,17.173460935813456,261
14,22.039481582466326,30.38865185784668,16.558446484179143,241
15,21.55590799596608,28.248296070995803,17.411623108155744,241
16,20.79820030801867,29.691415680007374,16.899285930843376,269
17,24.066922743381554,38.77901380126027,17.99858715871515,273
18,20.850338431710632,29.71511394333872,15.828710533421628,269
19,24.157461854188238,41.90778895402871,14.026362236861758,273
20,24.132412957572917,35.69637592905442,16.649747067540716,273
21,19.227515169045333,28.72284349344403,13.344739305411949,269
22,14.463791210621347,19.87709985473436,11.387985249576971,269
23,13.839305484750536,18.494984724711387,10.330312514244426,273
