feature,standardized_coefficient,abs_coefficient
price_lag_24h,48.265959371663676,48.265959371663676
renewables_forecast_mw,-19.612119450519586,19.612119450519586
price_rolling_mean_168h,19.346408811902375,19.346408811902375
price_lag_168h,12.18230435190461,12.18230435190461
load_forecast_mw,10.264751459930158,10.264751459930158
weekend,-6.819725000062557,6.819725000062557
dow_cos,5.909341177529243,5.909341177529243
price_rolling_vol_168h,5.817468669358943,5.817468669358943
price_rolling_vol_24h,5.607973860407026,5.607973860407026
residual_load_forecast_mw,4.508855269623405,4.508855269623405
hour_cos,-4.338113092916853,4.338113092916853
price_lag_48h,3.66813858271158,3.66813858271158
weekend_hour_cos,3.3011728679262027,3.3011728679262027
dow_sin,-3.0486274795928603,3.0486274795928603
month_cos,-2.894891953420235,2.894891953420235
price_rolling_mean_24h,-2.6810681314040816,2.6810681314040816
weekend_hour_sin,-1.3298892904748465,1.3298892904748465
month_sin,1.0440896821021368,1.0440896821021368
hour_sin,0.4818248007651027,0.4818248007651027
renewable_share_forecast,0.43297815143856405,0.43297815143856405
post_15min_mtu,0.0,0.0
