hour_local,mae,rmse,median_ae,n
0,16.654014746697392,24.2123870069746,10.458583374023434,273
1,16.04225194103313,23.94913820074216,9.823843994140631,265
2,15.1723786547668,22.834536282274982,9.66864562988281,266
3,15.445188919593548,23.492246678358455,9.837322082519535,261
4,14.714073638340212,22.598338843800647,9.95345581054687,265
5,14.925674687759342,22.868356152075638,9.89389068603515,273
6,17.75152408018431,26.021544049397164,12.757720947265625,269
7,22.30521901853792,31.848682134744408,14.991716308593752,273
8,24.106856776327454,36.50878763921421,15.305342102050787,265
9,23.52985558279268,33.835296481035705,15.445335388183594,273
10,25.04625137065356,34.9076054546928,17.582677917480467,273
11,27.634746239283935,37.1252855536933,22.178063735961913,269
12,29.484271386540854,39.78600880864647,24.160759582519532,273
13,30.672470742154626,42.114833999464,23.853560485839843,261
14,29.383224461731576,39.83504514490433,23.800487213134765,241
15,26.55206857470556,36.0934744736678,20.365903625488283,241
16,25.274091868236052,38.170210589797435,15.490063476562497,269
17,26.261958244239892,45.23557003348319,14.142500000000013,273
18,24.223434064787114,37.00180268694402,14.843599853515627,269
19,28.79838658986074,48.554355245605706,15.985901489257813,273
20,28.205704285897617,42.454854850805404,17.185211791992188,273
21,22.251361508848053,34.47618303440352,13.730099487304685,269
22,15.346620668319076,22.77133073930926,10.376032714843745,269
23,13.965573283883678,20.41160132996882,9.149667358398432,273
