model,mae,rmse,median_ae,n,fold
lag_24,27.204173327243662,40.295541266189055,16.730000000000004,8758,fold_1
lag_168,33.641136104133366,48.23148979712095,21.88999999999999,8758,fold_1
elasticnet_full,19.602451922774456,27.496482565976198,14.654320078418628,8758,fold_1
elasticnet_tier1,23.000128135339544,32.59174116601698,16.63179796502679,8758,fold_1
xgboost_full,16.79193517292768,23.563567141377696,13.260788421630863,8758,fold_1
xgboost_tier1,23.708466429831258,34.36729474937718,16.304613189697264,8758,fold_1
lag_24,27.82006718287406,44.308255927134915,17.295,8782,fold_2
lag_168,32.79097472102026,55.21287917840556,21.300000000000004,8782,fold_2
elasticnet_full,20.910833676128693,33.469703201794246,16.030019187999958,8782,fold_2
elasticnet_tier1,24.59567712369633,38.490955921166716,17.32578031007681,8782,fold_2
xgboost_full,16.35616639080884,27.34188863431014,11.61078536987305,8782,fold_2
xgboost_tier1,22.666930921280155,35.95858563127634,15.105618972778323,8782,fold_2
lag_24,26.041347885818958,40.52264346679353,14.900000000000006,6551,fold_3
lag_168,32.18166234162723,48.58669034729556,19.460000000000008,6551,fold_3
elasticnet_full,18.901564624192073,27.480289449532968,14.097427334670313,6551,fold_3
elasticnet_tier1,23.176148006181446,34.00460512397283,15.838304157397772,6551,fold_3
xgboost_full,16.471919612701925,25.312981293333408,11.529949951171872,6551,fold_3
xgboost_tier1,22.50057621352942,34.36673837135986,14.117313232421878,6551,fold_3
lag_24,25.762294970548254,40.23539150491384,14.797500000000007,2207,regime_stress_test
lag_168,34.71411531490712,51.45208494335959,20.9675,2207,regime_stress_test
elasticnet_full,20.0030314933727,28.579933840572398,15.088886617032884,2207,regime_stress_test
elasticnet_tier1,24.439150964890356,34.313684818197196,18.71165004559556,2207,regime_stress_test
xgboost_full,15.640083373959012,23.98897425324179,10.499675140380859,2207,regime_stress_test
xgboost_tier1,23.127529435017337,34.30338510406387,15.380397949218747,2207,regime_stress_test
