hour_local,mae,rmse,median_ae,n
0,19.15852798954492,26.299855065764334,13.108397717916247,364
1,19.64361160546217,26.838478546876456,13.656223478114853,365
2,19.650374594341002,26.59965456135529,13.824642189308392,365
3,19.027032463939573,25.866361784414156,12.84373965165507,365
4,18.485544993541676,25.050569967165316,12.910272226694836,365
5,17.666953628530873,23.469954700771638,12.927724921074798,365
6,17.03390196092953,22.798522026559894,13.328290934742398,365
7,19.157890090467074,26.305108735248254,14.939824897737637,365
8,18.58433159500119,25.122411381920504,14.02306256665824,365
9,18.726002511395134,24.805144081003927,15.281027613071458,365
10,19.470909139972424,25.530265442691434,15.000469249088553,365
11,20.616264320480916,26.856717792852727,16.917709893623453,365
12,22.101517751951178,28.61431255434607,18.45446436708039,365
13,23.267821086709606,31.637763502820345,19.25328271784378,365
14,24.241076711698796,39.29104844039098,18.135974959214167,365
15,23.302853851701087,34.51563223805498,19.4756511568433,365
16,20.174489529877224,26.253822735020673,16.072588004589704,365
17,17.867203583923605,24.157226481881064,13.90622887454957,365
18,18.21342116374416,25.501551583692205,13.739007557282875,365
19,22.485260468352507,35.34318016643287,16.118110024025682,365
20,20.31788538836856,30.487804833954506,15.60573081191832,365
21,17.019896423355547,23.65875369748788,11.98116044047515,365
22,16.493099193280102,23.14529102503156,11.030178386622069,365
23,17.74667555123797,24.38109654844028,12.869545729670868,364
