feature,standardized_coefficient,abs_coefficient
price_lag_24h,61.24650506165418,61.24650506165418
renewables_forecast_mw,-18.492826637875385,18.492826637875385
price_rolling_mean_168h,17.261693551235535,17.261693551235535
price_lag_168h,13.78863031623306,13.78863031623306
load_forecast_mw,12.03718226090606,12.03718226090606
price_rolling_vol_24h,9.687986416185355,9.687986416185355
dow_cos,6.7362068147352945,6.7362068147352945
weekend,-6.40964025222069,6.40964025222069
price_rolling_vol_168h,5.9450462147964425,5.9450462147964425
month_cos,-5.091017922007134,5.091017922007134
price_lag_48h,4.99913255010318,4.99913255010318
residual_load_forecast_mw,4.875553273210672,4.875553273210672
dow_sin,-3.6996872562383865,3.6996872562383865
price_rolling_mean_24h,-3.171907389917782,3.171907389917782
weekend_hour_cos,2.6036721615044947,2.6036721615044947
hour_cos,-2.5953759591380092,2.5953759591380092
hour_sin,1.7357318237718957,1.7357318237718957
weekend_hour_sin,-1.7233774273454778,1.7233774273454778
month_sin,1.0308227381844548,1.0308227381844548
renewable_share_forecast,0.26297800903119245,0.26297800903119245
post_15min_mtu,0.0,0.0
