hour_local,mae,rmse,median_ae,n
0,21.99491758241758,33.052852560144295,12.825000000000001,364
1,22.0318904109589,33.5578671665397,11.329999999999998,365
2,22.009753424657532,33.449199945384365,11.86,365
3,21.975369863013697,33.393302498866774,11.379999999999995,365
4,21.74882191780822,33.41601897048205,11.0,365
5,21.723753424657534,32.85702871783119,10.86,365
6,27.213561643835618,37.8659762015801,19.939999999999998,365
7,33.16657534246575,45.727042926418505,22.17999999999998,365
8,32.57169863013699,45.09146703896456,23.09,365
9,29.74808219178082,41.298352346980415,21.360000000000014,365
10,29.455945205479452,40.45714246506241,21.64,365
11,30.425917808219182,41.79071283732852,20.879999999999995,365
12,31.55619178082192,43.48582848043874,23.540000000000006,365
13,33.85775342465753,48.42796458064965,22.5,365
14,35.54191780821918,58.086950148327176,22.519999999999996,365
15,33.782082191780816,52.07303432785139,21.939999999999984,365
16,29.13761643835616,40.4590410743697,19.24000000000001,365
17,25.63194520547945,36.15370458291229,16.08,365
18,27.008849315068492,37.82965575471905,17.64,365
19,32.48841095890411,49.88904611152441,22.83,365
20,28.41923287671233,41.879878517702686,19.689999999999998,365
21,22.378931506849312,31.916214185664398,14.829999999999998,365
22,19.04986301369863,28.245965104020332,12.310000000000002,365
23,19.946923076923078,30.234049250239938,11.530000000000001,364
