hour_local,mae,rmse,median_ae,n
0,14.525531371298072,19.444670691474656,11.090616302490226,364
1,14.307803672183049,19.428146052047836,10.657903137207029,365
2,14.333238966314761,19.21895539120661,10.524546432495118,365
3,14.064350765515679,18.466336521869888,11.163688659667969,365
4,13.832956262970626,18.445778028213,10.422340812683107,365
5,14.367295885784985,18.44832454041685,11.75617065429688,365
6,16.07740973526811,20.328039712093442,13.432959594726569,365
7,18.46912532980148,24.813671905731926,14.443115234375,365
8,17.87582542606249,23.13461185935232,14.131231384277342,365
9,17.197092870797196,22.47551899781235,14.068610973358155,365
10,16.625627054501887,21.62915463677551,13.622957229614258,365
11,17.292234600168385,22.152975700024246,14.195625305175781,365
12,17.026435082512357,22.59073210578239,14.575528564453123,365
13,18.198844149994525,26.18736106807324,14.411911010742188,365
14,19.229191413356833,33.85806227304311,15.26957473754883,365
15,19.35663113065615,30.33719135163809,15.771296081542971,365
16,18.038790712837894,23.400015682517896,15.064805297851564,365
17,17.0787837825344,22.60724964180494,13.486564636230469,365
18,17.862386049139992,24.277023186666266,13.349211425781249,365
19,21.601083636767243,34.27069092720335,15.77862365722656,365
20,19.78490687279505,29.29822635998588,14.887095489501952,365
21,16.736383754756353,21.857425063350117,13.587593078613281,365
22,15.352466028161246,19.697913111363043,12.287930908203123,365
23,13.75752682306773,18.46242810873094,10.452460594177243,364
