feature,standardized_coefficient,abs_coefficient
price_lag_24h,68.89887985854453,68.89887985854453
price_lag_168h,12.97611329734408,12.97611329734408
load_forecast_mw,11.476804302385448,11.476804302385448
price_rolling_mean_24h,-10.126610712552347,10.126610712552347
price_rolling_mean_168h,10.023643048374757,10.023643048374757
price_lag_48h,8.94375293403902,8.94375293403902
weekend,-8.354256612321926,8.354256612321926
dow_cos,7.309722579164187,7.309722579164187
price_rolling_vol_168h,5.380255501257648,5.380255501257648
price_rolling_vol_24h,5.211040452759722,5.211040452759722
hour_cos,4.960590019483293,4.960590019483293
month_cos,-4.358007970595743,4.358007970595743
dow_sin,-3.6700230950287787,3.6700230950287787
weekend_hour_cos,3.6183446168629803,3.6183446168629803
hour_sin,3.332065698333129,3.332065698333129
month_sin,-2.169781950930214,2.169781950930214
weekend_hour_sin,-1.595209541482028,1.595209541482028
post_15min_mtu,0.0,0.0
