feature,importance
price_lag_24h,0.54201674
price_lag_168h,0.14282705
price_rolling_mean_168h,0.10598561
residual_load_forecast_mw,0.0742999
renewable_share_forecast,0.055549048
price_rolling_vol_168h,0.02276049
month_cos,0.012312554
dow_sin,0.009121606
dow_cos,0.0060148165
price_rolling_vol_24h,0.0059357625
renewables_forecast_mw,0.0051941196
load_forecast_mw,0.0042932793
hour_cos,0.0030715645
month_sin,0.002349752
weekend_hour_sin,0.0021793256
price_rolling_mean_24h,0.0020945654
price_lag_48h,0.0016732453
hour_sin,0.0014336383
weekend_hour_cos,0.00088698795
weekend,0.0
post_15min_mtu,0.0
