hour_local,mae,rmse,median_ae,n
0,18.979703013798964,25.724486022449025,13.633832397460935,365
1,18.391110318918695,25.0140533919449,12.127421493530274,366
2,18.227707008351395,25.083415139585664,12.090665588378904,366
3,18.4897734662353,25.42127323520401,13.340040512084961,366
4,18.208392987537906,25.225884568497754,12.877202301025392,366
5,18.073810321620254,25.028000687101887,12.16312759399414,366
6,19.16201763184344,26.319881100375714,13.325855865478516,366
7,24.28395868987985,39.707751277212424,15.842623748779296,366
8,23.79279052265355,38.38181108317037,14.964362945556642,366
9,21.9498936394655,35.62594465442598,15.120419883728026,366
10,22.027706847633823,33.13537039902228,16.224519653320314,366
11,23.991912417476943,34.215691842297105,17.46659774780273,366
12,24.847747352455485,35.377657133457944,17.513260688781738,366
13,25.613880403735596,36.725987862363446,19.28596633911133,366
14,25.256907507630647,36.78309203692767,17.612666702270506,366
15,26.049123393004873,40.74388585857081,17.98095779418945,366
16,27.314899179505517,47.3180990529346,17.970241107940673,366
17,28.36803276458073,55.80605138873533,16.490039978027347,366
18,29.10523215309518,52.36615389095853,17.33906982421874,366
19,31.93146581055688,53.054011958931085,20.098138122558602,366
20,28.273523696315745,41.711979592068644,19.38196701049805,366
21,19.503078183033427,26.179787361729776,14.546935119628913,366
22,15.948293054924637,21.720066121392673,11.28864654541016,366
23,16.187604275011036,22.4001189360895,10.847613830566402,365
