hour_local,mae,rmse,median_ae,n
0,17.86255606303233,25.447150612391717,12.056365826021548,273
1,17.528954761916864,24.94892163977299,12.359736068444036,273
2,17.65071649679615,24.81913590307836,12.117408321970302,272
3,18.215817608743585,25.32854919006482,13.043062350827157,273
4,17.92232376865349,24.660168177079154,14.190811128589857,273
5,17.009511878131587,24.0285425317091,13.095173117382345,273
6,18.936596910053638,26.510583061088738,13.945230458546078,273
7,24.155597051749982,33.77254081904058,16.11641720473655,273
8,26.94715920409477,39.05901131617099,18.859993518251173,273
9,26.112907669555366,35.3796072071097,20.138901347905204,273
10,26.420799275344617,35.40321103883409,22.594336422324147,273
11,26.69610537102402,35.47456905645518,23.53118807681779,273
12,27.97317351029337,37.1706362717328,22.93825974190063,273
13,28.124580912331258,38.10224653592538,22.541335385646065,273
14,26.464347855928025,36.0278532296338,20.000972827071926,273
15,25.212839520554507,33.48806206779066,19.368921682383473,273
16,24.782178693701642,36.35998743588283,17.433861018569402,273
17,27.715530236838106,45.779107429115534,15.941985365711872,273
18,26.736517193497836,41.98785783466721,15.78499838553013,273
19,29.922489243410194,49.42672540989271,17.61824798487379,273
20,29.414127925508325,43.06827715095631,19.84537913463906,273
21,22.515331120399157,33.95354717307918,15.004235666304027,273
22,16.531839986546,23.708325382010084,11.983212715280672,273
23,15.355310214391386,21.389364801062317,11.656894621413244,273
