month,information_set,n,coverage,lower_miss,upper_miss,mean_width,winkler_score
2026-01,Full,744,0.783602,0.073925,0.142473,48.079743,84.346709
2026-01,Tier-1,744,0.825269,0.086022,0.088710,63.439432,114.277964
2026-02,Full,672,0.849702,0.099702,0.050595,41.105325,53.924448
2026-02,Tier-1,672,0.830357,0.120536,0.049107,51.229080,75.126985
2026-03,Full,743,0.697174,0.149394,0.153432,37.857306,74.562891
2026-03,Tier-1,743,0.565276,0.212651,0.222073,56.805506,171.003074
2026-04,Full,720,0.731944,0.180556,0.087500,46.461889,103.540630
2026-04,Tier-1,720,0.751389,0.141667,0.106944,92.384321,167.359568
2026-05,Full,744,0.883065,0.029570,0.087366,49.649300,86.988289
2026-05,Tier-1,744,0.922043,0.028226,0.049731,94.390466,126.584436
2026-06,Full,720,0.704167,0.077778,0.218056,43.718961,130.952354
2026-06,Tier-1,720,0.763889,0.079167,0.156944,69.847543,164.512218
2026-07,Full,744,0.752688,0.067204,0.180108,48.541013,88.824888
2026-07,Tier-1,744,0.786290,0.122312,0.091398,72.538856,124.495419
