,full,tier1
n,2207.0,2207.0
mean,0.8379310514905175,-1.9219209542293918
median,-0.6579129457473755,-0.9641281127929631
std,23.97976866478046,34.257264835079546
q01,-59.28028323974609,-87.3344135070801
q05,-30.143162780761713,-54.0708018798828
q10,-21.284676757812495,-41.097170654296875
q25,-10.363824615478514,-18.222212829589843
q75,10.593794403076174,13.252117919921872
q90,24.632158325195306,30.323975708007815
q95,34.293449707031264,42.336896591186495
q99,80.18626304931658,118.88012020263689
mean_worst_10pct,-37.75041184130582,-61.50636143701726
mean_worst_5pct,-50.12623939930309,-75.45461978565564
